LastName,ForeName,Initials
Dubcovsky,Jorge,J
Luo,Jie,J
Kaeppler,Shawn,S
Fritschi,Felix B,FB
Kim,Heebal,H
Castro,Ariel J,AJ
Holland,James B,JB
Kilian,Benjamin,B
Reynolds,M P,MP
Snowdon,Rod J,RJ
Frei,Michael,M
Eeuwijk,Fred van,FV
Courtois,Brigitte,B
van Dijk,Aalt,A
Reynolds,Matthew P,MP
Buckler,Edward S,ES
Barone,Amalia,A
Zhang,Q,Q
Schnurbusch,Thorsten,T
Wei,Xinghua,X
Reif,J C,JC
Bergelson,Joy,J
Edwards,David,D
van Eeuwijk,Fred,F
Frei,Michael,M
Fritschi,Felix B,FB
Le Cunff,Loic,L
Kraft,T,T
WÃ_rschum,Tobias,T
Causse,Mathilde,M
Stich,Benjamin,B
Li,Ziqin,Z
Kliebenstein,Daniel J,DJ
Xiong,Lizhong,L
Kresovich,Stephen,S
Adhikari,Tika B,TB
Luo,Jie,J
Saito,Kazuki,K
Stich,Benjamin,B
Rocheford,Torbert,T
LÃ_bberstedt,Thomas,T
Wang,Dechun,D
Pereira,Andy,A
Brown,P J,PJ
Maurer,Hans Peter,HP
McClean,Phillip E,PE
Liu,Touming,T
Ma,Fengwang,F
Belzile,FranÃ§ois,F
Yan,Jianbing,J
Bumgarner,Roger E,RE
Takahashi,Hiro,H
Johal,Gurmukh,G
Paterson,Andrew H,AH
van Beek,Edwin J R,EJ
Ogbonnaya,Francis C,FC
Schneeberger,Korbinian,K
Zhang,Xiurong,X
Yates,J,J
Yoshida,Teruhiko,T
Haussmann,Bettina I G,BI
Lane,Michael,M
Rakoczy-Trojanowska,Monika,M
Datla,Raju,R
Hauser,Marie-Theres,MT
Tinker,Nicholas A,NA
Kaeppler,Shawn M,SM
Berger,FrÃ©dÃ©ric,F
Carpita,Nicholas C,NC
Nguyen,Henry T,HT
Daugrois,J H,JH
Luo,Jie,J
RÃ¶der,Marion S,MS
Zhang,Guoping,G
Yano,Masahiro,M
He,Huaqin,H
He,Zhonghu,Z
Jaiswal,Vandana,V
Rasmussen,SÃ¸ren K,SK
Huang,Sanwen,S
Doudna,Jennifer A,JA
Pillen,Klaus,K
Feltus,F Alex,FA
Papa,Roberto,R
Gai,Junyi,J
Peters,Ulrike,U
Nosil,Patrik,P
Muehlbauer,Gary J,GJ
Cheng,Zong-Ming Max,ZM
Lu,Shanfa,S
Videira,Arnaldo,A
McNellis,Timothy W,TW
Zhang,Deqiang,D
Zhou,Jianhua,J
Pan,Guangtang,G
Simianer,Henner,H
Chen,Feng,F
Reda,Julia,J
Borevitz,Justin O,JO
Yan,Jianbing,J
Basu,A,A
Tresch,Achim,A
Knight,Julian C,JC
Burow,Meike,M
Dorokhov,Yuri L,YL
Price,Adam H,AH
Reddy,Umesh K,UK
Bouffier,Laurent,L
Hu,Jin,J
Jo,Sung-Hwan,SH
Buckler,Edward S,ES
Luo,Zhengrong,Z
Buell,C Robin,CR
Prasad,Manoj,M
Ling,Li-Zhen,LZ
Tuszynski,Jack,J
Wakasa,Kyo,K
Li,Yunhai,Y
Gao,Zhong-Shan,ZS
Gay,Gilles,G
Tuteja,Narendra,N
Bonierbale,Merideth,M
Brummer,E Charles,EC
Reynolds,Matthew P,MP
Feldman,Marcus W,MW
Chen,Ho-Ming,HM
O'Dell,Sandra D,SD
Yu,Deyue,D
Yu,Xiaolin,X
Cregan,Perry B,PB
Heise,Mark T,MT
Dellapenna,Dean,D
Hou,Xi-Lin,XL
Bohra,Abhishek,A
Reif,J C,JC
Wang,Chen,C
Kim,Bo-Kyeong,BK
Studer,Bruno,B
Jensen,Elaine,E
Reif,Jochen C,JC
Chen,H Y,HY
Bonnema,Guusje,G
Pandey,Girdhar K,GK
